Num Hilos;Ticks;Resultado
1;30.549;2.826,00
2;65.708;2.826,00
3;20.779;2.826,00
4;26.283;2.826,00
5;29.178;2.826,00
6;35.794;2.826,00
7;39.470;2.826,00
8;41.288;2.826,00
9;41.420;2.826,00
10;44.567;2.826,00
11;50.207;2.826,00
12;50.806;2.826,00
13;59.417;2.826,00
14;61.848;2.826,00
15;60.596;2.826,00
16;67.296;2.826,00
17;79.209;2.826,00
18;88.428;2.826,00
19;81.778;2.826,00
20;82.125;2.826,00
21;88.404;2.826,00
22;89.073;2.826,00
23;82.390;2.826,00
24;74.049;2.826,00
25;84.601;2.826,00
26;80.337;2.826,00
27;92.867;2.826,00
28;85.849;2.826,00
29;88.653;2.826,00
30;98.215;2.826,00
31;97.811;2.826,00
32;106.975;2.826,00
33;125.571;2.826,00
34;104.293;2.826,00
35;104.810;2.826,00
36;109.517;2.826,00
37;162.455;2.826,00
38;137.373;2.826,00
39;118.650;2.826,00
40;126.037;2.826,00
41;127.176;2.826,00
42;144.082;2.826,00
43;166.019;2.826,00
44;175.314;2.826,00
45;171.030;2.826,00
46;165.680;2.826,00
47;163.449;2.826,00
48;169.601;2.826,00
49;173.074;2.826,00
50;170.856;2.826,00
