Num Hilos;Ticks;Resultado
1;27.689;2.826,00
2;73.229;2.826,00
3;20.285;2.826,00
4;27.969;2.826,00
5;32.157;2.826,00
6;42.838;2.826,00
7;39.115;2.826,00
8;37.512;2.826,00
9;43.119;2.826,00
10;46.490;2.826,00
11;52.692;2.826,00
12;54.402;2.826,00
13;56.082;2.826,00
14;57.952;2.826,00
15;63.808;2.826,00
16;76.764;2.826,00
17;78.367;2.826,00
18;74.679;2.826,00
19;85.687;2.826,00
20;80.382;2.826,00
21;78.261;2.826,00
22;80.980;2.826,00
23;72.969;2.826,00
24;71.469;2.826,00
25;74.003;2.826,00
26;75.242;2.826,00
27;80.563;2.826,00
28;81.666;2.826,00
29;84.380;2.826,00
30;89.627;2.826,00
31;90.966;2.826,00
32;93.328;2.826,00
33;95.281;2.826,00
34;100.961;2.826,00
35;103.574;2.826,00
36;117.110;2.826,00
37;133.871;2.826,00
38;114.207;2.826,00
39;113.148;2.826,00
40;127.029;2.826,00
41;117.119;2.826,00
42;127.917;2.826,00
43;125.901;2.826,00
44;136.542;2.826,00
45;142.797;2.826,00
46;138.813;2.826,00
47;135.609;2.826,00
48;142.007;2.826,00
49;141.184;2.826,00
50;154.849;2.826,00
