Num Hilos;Ticks;Resultado
1;31.302;6.057,13
2;11.133;6.057,13
3;13.965;6.057,13
4;20.140;6.057,13
5;20.416;6.057,13
6;23.560;6.057,13
7;19.951;6.057,13
8;22.147;6.057,13
9;18.105;6.057,13
10;13.990;6.057,13
11;17.285;6.057,13
12;17.708;6.057,13
13;14.402;6.057,13
14;18.289;6.057,13
15;13.175;6.057,13
16;12.773;6.057,13
17;11.784;6.057,13
18;15.267;6.057,13
19;13.237;6.057,13
20;13.425;6.057,13
21;15.323;6.057,13
22;14.294;6.057,13
23;14.751;6.057,13
24;15.383;6.057,13
25;15.125;6.057,13
26;16.496;6.057,13
27;17.741;6.057,13
28;18.092;6.057,13
29;18.148;6.057,13
30;18.717;6.057,13
31;19.538;6.057,13
32;20.750;6.057,13
33;22.213;6.057,13
34;22.441;6.057,13
35;22.327;6.057,13
36;22.928;6.057,13
37;22.500;6.057,13
38;23.262;6.057,13
39;26.242;6.057,13
40;25.333;6.057,13
41;24.781;6.057,13
42;25.923;6.057,13
43;26.736;6.057,13
44;27.341;6.057,13
45;28.162;6.057,13
46;29.083;6.057,13
47;29.598;6.057,13
48;31.365;6.057,13
49;32.110;6.057,13
50;33.096;6.057,13
